batch_size,peak_vram_mb,mean_ms,p95_ms,fps
1,219.21,79.746,84.56,12.54
4,302.92,225.352,278.875,17.75
8,415.69,375.508,401.761,21.3
16,641.23,712.945,740.197,22.44

info,value
total_params,88946691.0
trainable_params,30725379.0
ckpt_size_mb,573.85
