thr,precision_danger,recall_danger,miss_rate_danger,f1_macro,f2_macro,coverage
0.1,0.819876,0.992481,0.003759,0.322308,0.332612,0.993865
0.15,0.830128,0.973684,0.015038,0.408118,0.393285,0.981595
0.2,0.846154,0.951128,0.037594,0.470686,0.447431,0.97546
0.25,0.857639,0.928571,0.052632,0.518585,0.496646,0.96319
0.3,0.856115,0.894737,0.078947,0.50499,0.491609,0.957055
0.35,0.873134,0.879699,0.086466,0.539473,0.534334,0.947853
0.4,0.875,0.842105,0.12406,0.52357,0.52463,0.947853
0.45,0.87747,0.834586,0.131579,0.526226,0.529452,0.947853
0.5,0.87747,0.834586,0.131579,0.526226,0.529452,0.947853
0.55,0.87747,0.834586,0.131579,0.526226,0.529452,0.947853
0.6,0.87747,0.834586,0.131579,0.526226,0.529452,0.947853
0.65,0.87747,0.834586,0.131579,0.526226,0.529452,0.947853
0.7,0.87747,0.834586,0.131579,0.526226,0.529452,0.947853
0.75,0.87747,0.834586,0.131579,0.526226,0.529452,0.947853
0.8,0.87747,0.834586,0.131579,0.526226,0.529452,0.947853
0.85,0.87747,0.834586,0.131579,0.526226,0.529452,0.947853
0.9,0.87747,0.834586,0.131579,0.526226,0.529452,0.947853
