threshold,coverage,precision_danger,miss_rate
0.0,1.0,0.815951,0.0
0.01,1.0,0.815951,0.0
0.02,1.0,0.815951,0.0
0.03,0.996933,0.818462,0.0
0.04,0.996933,0.818462,0.0
0.05,0.996933,0.818462,0.0
0.06,0.996933,0.818462,0.0
0.07,0.996933,0.818462,0.0
0.08,0.996933,0.818462,0.0
0.09,0.98773,0.819876,0.007519
0.1,0.98773,0.819876,0.007519
0.11,0.978528,0.827586,0.007519
0.12,0.978528,0.827586,0.007519
0.13,0.969325,0.829114,0.015038
0.14,0.969325,0.829114,0.015038
0.15,0.957055,0.830128,0.026316
0.16,0.941718,0.833876,0.037594
0.17,0.929448,0.841584,0.041353
0.18,0.92638,0.84106,0.045113
0.19,0.923313,0.843854,0.045113
0.2,0.917178,0.846154,0.048872
0.21,0.907975,0.847973,0.056391
0.22,0.898773,0.853242,0.06015
0.23,0.895706,0.85274,0.06391
0.24,0.889571,0.858621,0.06391
0.25,0.883436,0.857639,0.071429
0.26,0.877301,0.856643,0.078947
0.27,0.871166,0.855634,0.086466
0.28,0.861963,0.854093,0.097744
0.29,0.855828,0.856631,0.101504
0.3,0.852761,0.856115,0.105263
0.31,0.846626,0.858696,0.109023
0.32,0.837423,0.864469,0.112782
0.33,0.831288,0.870849,0.112782
0.34,0.825153,0.873606,0.116541
0.35,0.819018,0.872659,0.12406
0.36,0.815951,0.87218,0.12782
0.37,0.809816,0.871212,0.135338
0.38,0.797546,0.876923,0.142857
0.39,0.788344,0.879377,0.150376
0.4,0.776074,0.881423,0.161654
0.41,0.766871,0.884,0.169173
0.42,0.760736,0.883065,0.176692
0.43,0.760736,0.883065,0.176692
0.44,0.760736,0.883065,0.176692
0.45,0.745399,0.884774,0.191729
0.46,0.736196,0.8875,0.199248
0.47,0.726994,0.886076,0.210526
0.48,0.711656,0.892241,0.221805
0.49,0.696319,0.894273,0.236842
0.5,0.693252,0.893805,0.240602
0.51,0.684049,0.896861,0.24812
0.52,0.680982,0.896396,0.25188
0.53,0.680982,0.896396,0.25188
0.54,0.677914,0.895928,0.255639
0.55,0.665644,0.894009,0.270677
0.56,0.659509,0.893023,0.278195
0.57,0.653374,0.896714,0.281955
0.58,0.653374,0.896714,0.281955
0.59,0.647239,0.900474,0.285714
0.6,0.638037,0.908654,0.289474
0.61,0.638037,0.908654,0.289474
0.62,0.631902,0.912621,0.293233
0.63,0.619632,0.910891,0.308271
0.64,0.607362,0.909091,0.323308
0.65,0.59816,0.912821,0.330827
0.66,0.588957,0.911458,0.342105
0.67,0.579755,0.910053,0.353383
0.68,0.56135,0.907104,0.37594
0.69,0.53681,0.902857,0.406015
0.7,0.518405,0.905325,0.424812
0.71,0.503067,0.908537,0.43985
0.72,0.484663,0.911392,0.458647
0.73,0.457055,0.926174,0.481203
0.74,0.43865,0.944056,0.492481
0.75,0.41411,0.955556,0.515038
0.76,0.389571,0.96063,0.541353
0.77,0.361963,0.957627,0.575188
0.78,0.340491,0.954955,0.601504
0.79,0.309816,0.960396,0.635338
0.8,0.266871,0.965517,0.684211
0.81,0.233129,0.973684,0.721805
0.82,0.193252,0.984127,0.766917
0.83,0.156442,0.980392,0.81203
0.84,0.134969,1.0,0.834586
0.85,0.101227,1.0,0.87594
0.86,0.079755,1.0,0.902256
0.87,0.055215,1.0,0.932331
0.88,0.033742,1.0,0.958647
0.89,0.01227,1.0,0.984962
0.9,0.009202,1.0,0.988722
0.91,0.003067,1.0,0.996241
0.92,0.003067,1.0,0.996241
0.93,0.003067,1.0,0.996241
0.94,0.0,0.0,1.0
0.95,0.0,0.0,1.0
0.96,0.0,0.0,1.0
0.97,0.0,0.0,1.0
0.98,0.0,0.0,1.0
0.99,0.0,0.0,1.0
1.0,0.0,0.0,1.0
