danger_thr,margin,precision_danger,recall_danger,miss_rate_danger,coverage,f1_macro,accuracy
0.3,0.05,0.876,0.823308,0.078947,0.871166,0.469405,0.730061
0.3,0.1,0.876033,0.796992,0.078947,0.846626,0.45564,0.708589
0.3,0.15,0.893162,0.785714,0.078947,0.822086,0.456601,0.702454
0.3,0.2,0.891304,0.770677,0.078947,0.809816,0.449946,0.690184
0.3,0.25,0.889381,0.755639,0.078947,0.797546,0.443545,0.677914
0.3,0.3,0.890411,0.733083,0.078947,0.776074,0.440877,0.662577
0.35,0.05,0.878543,0.815789,0.090226,0.886503,0.500196,0.736196
0.35,0.1,0.878661,0.789474,0.090226,0.861963,0.485006,0.714724
0.35,0.15,0.896552,0.781955,0.090226,0.840491,0.48728,0.711656
0.35,0.2,0.894737,0.766917,0.090226,0.828221,0.480069,0.699387
0.35,0.25,0.892857,0.75188,0.090226,0.815951,0.473182,0.687117
0.35,0.3,0.890411,0.733083,0.090226,0.800613,0.464949,0.671779
0.4,0.05,0.885714,0.815789,0.12782,0.917178,0.509159,0.739264
0.4,0.1,0.886076,0.789474,0.12782,0.892638,0.490047,0.717791
0.4,0.15,0.896552,0.781955,0.12782,0.877301,0.482942,0.711656
0.4,0.2,0.894737,0.766917,0.12782,0.865031,0.474753,0.699387
0.4,0.25,0.892857,0.75188,0.12782,0.852761,0.467051,0.687117
0.4,0.3,0.890411,0.733083,0.12782,0.837423,0.457984,0.671779
0.45,0.05,0.884774,0.808271,0.150376,0.935583,0.525896,0.739264
0.45,0.1,0.885106,0.781955,0.150376,0.911043,0.503221,0.717791
0.45,0.15,0.896104,0.778195,0.150376,0.898773,0.496964,0.714724
0.45,0.2,0.894273,0.763158,0.150376,0.886503,0.487558,0.702454
0.45,0.25,0.892377,0.74812,0.150376,0.874233,0.478836,0.690184
0.45,0.3,0.890411,0.733083,0.150376,0.861963,0.470673,0.677914
0.5,0.05,0.893805,0.759398,0.184211,0.923313,0.518727,0.711656
0.5,0.1,0.893805,0.759398,0.184211,0.923313,0.518727,0.711656
0.5,0.15,0.893333,0.755639,0.184211,0.920245,0.51575,0.708589
0.5,0.2,0.892377,0.74812,0.184211,0.91411,0.510023,0.702454
0.5,0.25,0.890411,0.733083,0.184211,0.90184,0.499366,0.690184
0.5,0.3,0.888372,0.718045,0.184211,0.889571,0.489594,0.677914
0.55,0.05,0.894009,0.729323,0.210526,0.917178,0.512967,0.690184
0.55,0.1,0.894009,0.729323,0.210526,0.917178,0.512967,0.690184
0.55,0.15,0.894009,0.729323,0.210526,0.917178,0.512967,0.690184
0.55,0.2,0.894009,0.729323,0.210526,0.917178,0.512967,0.690184
0.55,0.25,0.893519,0.725564,0.210526,0.91411,0.509895,0.687117
0.55,0.3,0.892019,0.714286,0.210526,0.904908,0.501121,0.677914
0.6,0.05,0.908654,0.710526,0.229323,0.91411,0.523817,0.684049
0.6,0.1,0.908654,0.710526,0.229323,0.91411,0.523817,0.684049
0.6,0.15,0.908654,0.710526,0.229323,0.91411,0.523817,0.684049
0.6,0.2,0.908654,0.710526,0.229323,0.91411,0.523817,0.684049
0.6,0.25,0.908654,0.710526,0.229323,0.91411,0.523817,0.684049
0.6,0.3,0.908654,0.710526,0.229323,0.91411,0.523817,0.684049
