threshold,coverage,precision_danger,miss_rate
0.0,1.0,0.815951,0.0
0.01,1.0,0.815951,0.0
0.02,1.0,0.815951,0.0
0.03,1.0,0.815951,0.0
0.04,1.0,0.815951,0.0
0.05,1.0,0.815951,0.0
0.06,1.0,0.815951,0.0
0.07,0.993865,0.817901,0.003759
0.08,0.97546,0.81761,0.022556
0.09,0.960123,0.824281,0.030075
0.1,0.941718,0.837134,0.033835
0.11,0.92638,0.837748,0.048872
0.12,0.91411,0.842282,0.056391
0.13,0.90184,0.843537,0.067669
0.14,0.883436,0.854167,0.075188
0.15,0.874233,0.863158,0.075188
0.16,0.868098,0.865724,0.078947
0.17,0.861963,0.864769,0.086466
0.18,0.858896,0.864286,0.090226
0.19,0.852761,0.866906,0.093985
0.2,0.846626,0.869565,0.097744
0.21,0.828221,0.87037,0.116541
0.22,0.819018,0.868914,0.12782
0.23,0.815951,0.868421,0.131579
0.24,0.809816,0.871212,0.135338
0.25,0.803681,0.870229,0.142857
0.26,0.794479,0.868726,0.154135
0.27,0.779141,0.866142,0.172932
0.28,0.769939,0.868526,0.180451
0.29,0.763804,0.871486,0.184211
0.3,0.757669,0.874494,0.18797
0.31,0.754601,0.873984,0.191729
0.32,0.751534,0.873469,0.195489
0.33,0.745399,0.872428,0.203008
0.34,0.739264,0.875519,0.206767
0.35,0.733129,0.874477,0.214286
0.36,0.730061,0.87395,0.218045
0.37,0.726994,0.873418,0.221805
0.38,0.723926,0.872881,0.225564
0.39,0.720859,0.876596,0.225564
0.4,0.711656,0.875,0.236842
0.41,0.711656,0.875,0.236842
0.42,0.699387,0.881579,0.244361
0.43,0.696319,0.885463,0.244361
0.44,0.693252,0.889381,0.244361
0.45,0.687117,0.892857,0.24812
0.46,0.671779,0.890411,0.266917
0.47,0.659509,0.893023,0.278195
0.48,0.653374,0.892019,0.285714
0.49,0.647239,0.895735,0.289474
0.5,0.638037,0.894231,0.300752
0.51,0.634969,0.89372,0.304511
0.52,0.634969,0.89372,0.304511
0.53,0.631902,0.898058,0.304511
0.54,0.625767,0.901961,0.308271
0.55,0.625767,0.901961,0.308271
0.56,0.622699,0.901478,0.31203
0.57,0.619632,0.90099,0.315789
0.58,0.610429,0.899497,0.327068
0.59,0.604294,0.898477,0.334586
0.6,0.59816,0.897436,0.342105
0.61,0.592025,0.901554,0.345865
0.62,0.58589,0.905759,0.349624
0.63,0.579755,0.904762,0.357143
0.64,0.57362,0.903743,0.364662
0.65,0.567485,0.902703,0.37218
0.66,0.552147,0.9,0.390977
0.67,0.546012,0.898876,0.398496
0.68,0.539877,0.903409,0.402256
0.69,0.533742,0.908046,0.406015
0.7,0.527607,0.906977,0.413534
0.71,0.51227,0.91018,0.428571
0.72,0.506135,0.909091,0.43609
0.73,0.493865,0.906832,0.451128
0.74,0.48773,0.90566,0.458647
0.75,0.466258,0.901316,0.484962
0.76,0.457055,0.90604,0.492481
0.77,0.432515,0.907801,0.518797
0.78,0.407975,0.902256,0.548872
0.79,0.392638,0.914062,0.56015
0.8,0.340491,0.918919,0.616541
0.81,0.328221,0.925234,0.62782
0.82,0.294479,0.916667,0.669173
0.83,0.257669,0.928571,0.706767
0.84,0.196319,0.921875,0.778195
0.85,0.119632,0.948718,0.860902
0.86,0.0,0.0,1.0
0.87,0.0,0.0,1.0
0.88,0.0,0.0,1.0
0.89,0.0,0.0,1.0
0.9,0.0,0.0,1.0
0.91,0.0,0.0,1.0
0.92,0.0,0.0,1.0
0.93,0.0,0.0,1.0
0.94,0.0,0.0,1.0
0.95,0.0,0.0,1.0
0.96,0.0,0.0,1.0
0.97,0.0,0.0,1.0
0.98,0.0,0.0,1.0
0.99,0.0,0.0,1.0
1.0,0.0,0.0,1.0
