thr,precision_danger,recall_danger,miss_rate_danger,f1_macro,f2_macro,coverage
0.1,0.837134,0.966165,0.011278,0.432086,0.413845,0.972393
0.15,0.863158,0.924812,0.041353,0.512275,0.498021,0.957055
0.2,0.869565,0.902256,0.056391,0.517425,0.509986,0.944785
0.25,0.870229,0.857143,0.093985,0.502855,0.506747,0.93865
0.3,0.874494,0.81203,0.12782,0.493417,0.505586,0.92638
0.35,0.874477,0.785714,0.150376,0.477932,0.492508,0.923313
0.4,0.875,0.763158,0.172932,0.472608,0.489741,0.923313
0.45,0.889381,0.755639,0.180451,0.502966,0.525273,0.917178
0.5,0.892377,0.74812,0.180451,0.507758,0.53295,0.907975
0.55,0.892377,0.74812,0.180451,0.507758,0.53295,0.907975
0.6,0.892377,0.74812,0.180451,0.507758,0.53295,0.907975
0.65,0.892377,0.74812,0.180451,0.507758,0.53295,0.907975
0.7,0.892377,0.74812,0.180451,0.507758,0.53295,0.907975
0.75,0.892377,0.74812,0.180451,0.507758,0.53295,0.907975
0.8,0.892377,0.74812,0.180451,0.507758,0.53295,0.907975
0.85,0.892377,0.74812,0.180451,0.507758,0.53295,0.907975
0.9,0.892377,0.74812,0.180451,0.507758,0.53295,0.907975
