danger_thr,margin,precision_danger,recall_danger,miss_rate_danger,coverage,f1_macro,accuracy
0.3,0.05,0.896694,0.815789,0.101504,0.886503,0.49311,0.736196
0.3,0.1,0.894958,0.800752,0.101504,0.874233,0.485177,0.723926
0.3,0.15,0.893162,0.785714,0.101504,0.861963,0.477741,0.711656
0.3,0.2,0.890351,0.763158,0.101504,0.843558,0.46733,0.693252
0.3,0.25,0.889381,0.755639,0.101504,0.837423,0.464024,0.687117
0.3,0.3,0.885845,0.729323,0.101504,0.815951,0.452969,0.665644
0.35,0.05,0.896266,0.81203,0.120301,0.907975,0.513955,0.742331
0.35,0.1,0.894515,0.796992,0.120301,0.895706,0.504776,0.730061
0.35,0.15,0.892704,0.781955,0.120301,0.883436,0.496304,0.717791
0.35,0.2,0.889868,0.759398,0.120301,0.865031,0.484639,0.699387
0.35,0.25,0.888889,0.75188,0.120301,0.858896,0.480978,0.693252
0.35,0.3,0.885845,0.729323,0.120301,0.840491,0.470541,0.674847
0.4,0.05,0.89916,0.804511,0.139098,0.920245,0.536627,0.745399
0.4,0.1,0.897436,0.789474,0.139098,0.907975,0.525614,0.733129
0.4,0.15,0.896104,0.778195,0.139098,0.898773,0.518017,0.723926
0.4,0.2,0.893333,0.755639,0.139098,0.880368,0.504172,0.705521
0.4,0.25,0.892377,0.74812,0.139098,0.874233,0.499888,0.699387
0.4,0.3,0.889401,0.725564,0.139098,0.855828,0.487823,0.680982
0.45,0.05,0.898734,0.800752,0.157895,0.935583,0.54592,0.745399
0.45,0.1,0.896996,0.785714,0.157895,0.923313,0.533224,0.733129
0.45,0.15,0.895652,0.774436,0.157895,0.91411,0.524586,0.723926
0.45,0.2,0.893333,0.755639,0.157895,0.898773,0.511526,0.708589
0.45,0.25,0.892377,0.74812,0.157895,0.892638,0.50669,0.702454
0.45,0.3,0.889401,0.725564,0.157895,0.874233,0.49324,0.684049
0.5,0.05,0.904762,0.785714,0.172932,0.932515,0.568373,0.742331
0.5,0.1,0.904762,0.785714,0.172932,0.932515,0.568373,0.742331
0.5,0.15,0.903509,0.774436,0.172932,0.923313,0.557393,0.733129
0.5,0.2,0.901345,0.755639,0.172932,0.907975,0.541048,0.717791
0.5,0.25,0.900452,0.74812,0.172932,0.90184,0.535075,0.711656
0.5,0.3,0.897674,0.725564,0.172932,0.883436,0.518684,0.693252
0.55,0.05,0.900901,0.75188,0.203008,0.929448,0.548546,0.714724
0.55,0.1,0.900901,0.75188,0.203008,0.929448,0.548546,0.714724
0.55,0.15,0.900901,0.75188,0.203008,0.929448,0.548546,0.714724
0.55,0.2,0.900901,0.75188,0.203008,0.929448,0.548546,0.714724
0.55,0.25,0.9,0.744361,0.203008,0.923313,0.541286,0.708589
0.55,0.3,0.897196,0.721805,0.203008,0.904908,0.521758,0.690184
0.6,0.05,0.900474,0.714286,0.236842,0.92638,0.527619,0.684049
0.6,0.1,0.900474,0.714286,0.236842,0.92638,0.527619,0.684049
0.6,0.15,0.900474,0.714286,0.236842,0.92638,0.527619,0.684049
0.6,0.2,0.900474,0.714286,0.236842,0.92638,0.527619,0.684049
0.6,0.25,0.900474,0.714286,0.236842,0.92638,0.527619,0.684049
0.6,0.3,0.900474,0.714286,0.236842,0.92638,0.527619,0.684049
