thr,precision_danger,recall_danger,miss_rate_danger,f1_macro,f2_macro,coverage
0.1,0.825397,0.977444,0.011278,0.376486,0.370262,0.981595
0.15,0.857627,0.951128,0.033835,0.519873,0.493062,0.969325
0.2,0.864111,0.932331,0.052632,0.542001,0.518569,0.966258
0.25,0.866426,0.902256,0.071429,0.541046,0.527168,0.953988
0.3,0.878327,0.868421,0.101504,0.540146,0.53732,0.95092
0.35,0.885827,0.845865,0.120301,0.546037,0.551616,0.947853
0.4,0.893443,0.819549,0.139098,0.552978,0.566787,0.93865
0.45,0.891667,0.804511,0.154135,0.54429,0.559055,0.93865
0.5,0.89916,0.804511,0.154135,0.567409,0.583313,0.932515
0.55,0.89916,0.804511,0.154135,0.567409,0.583313,0.932515
0.6,0.89916,0.804511,0.154135,0.567409,0.583313,0.932515
0.65,0.89916,0.804511,0.154135,0.567409,0.583313,0.932515
0.7,0.89916,0.804511,0.154135,0.567409,0.583313,0.932515
0.75,0.89916,0.804511,0.154135,0.567409,0.583313,0.932515
0.8,0.89916,0.804511,0.154135,0.567409,0.583313,0.932515
0.85,0.89916,0.804511,0.154135,0.567409,0.583313,0.932515
0.9,0.89916,0.804511,0.154135,0.567409,0.583313,0.932515
