threshold,coverage,precision_danger,miss_rate
0.0,1.0,0.815951,0.0
0.01,1.0,0.815951,0.0
0.02,1.0,0.815951,0.0
0.03,1.0,0.815951,0.0
0.04,1.0,0.815951,0.0
0.05,1.0,0.815951,0.0
0.06,0.990798,0.820433,0.003759
0.07,0.984663,0.819315,0.011278
0.08,0.966258,0.825397,0.022556
0.09,0.95092,0.829032,0.033835
0.1,0.944785,0.831169,0.037594
0.11,0.935583,0.832787,0.045113
0.12,0.932515,0.835526,0.045113
0.13,0.904908,0.847458,0.06015
0.14,0.90184,0.846939,0.06391
0.15,0.892638,0.848797,0.071429
0.16,0.883436,0.850694,0.078947
0.17,0.880368,0.853659,0.078947
0.18,0.871166,0.855634,0.086466
0.19,0.868098,0.858657,0.086466
0.2,0.865031,0.858156,0.090226
0.21,0.861963,0.857651,0.093985
0.22,0.858896,0.857143,0.097744
0.23,0.858896,0.857143,0.097744
0.24,0.849693,0.855596,0.109023
0.25,0.849693,0.855596,0.109023
0.26,0.846626,0.855072,0.112782
0.27,0.843558,0.858182,0.112782
0.28,0.843558,0.858182,0.112782
0.29,0.834356,0.856618,0.12406
0.3,0.831288,0.856089,0.12782
0.31,0.825153,0.855019,0.135338
0.32,0.825153,0.855019,0.135338
0.33,0.822086,0.858209,0.135338
0.34,0.819018,0.857678,0.139098
0.35,0.809816,0.859848,0.146617
0.36,0.797546,0.861538,0.157895
0.37,0.791411,0.860465,0.165414
0.38,0.788344,0.863813,0.165414
0.39,0.785276,0.863281,0.169173
0.4,0.785276,0.863281,0.169173
0.41,0.782209,0.866667,0.169173
0.42,0.779141,0.866142,0.172932
0.43,0.769939,0.864542,0.184211
0.44,0.766871,0.864,0.18797
0.45,0.760736,0.862903,0.195489
0.46,0.754601,0.861789,0.203008
0.47,0.748466,0.860656,0.210526
0.48,0.742331,0.863636,0.214286
0.49,0.736196,0.8625,0.221805
0.5,0.726994,0.860759,0.233083
0.51,0.726994,0.860759,0.233083
0.52,0.723926,0.860169,0.236842
0.53,0.723926,0.860169,0.236842
0.54,0.720859,0.859574,0.240602
0.55,0.711656,0.866379,0.244361
0.56,0.705521,0.869565,0.24812
0.57,0.702454,0.868996,0.25188
0.58,0.696319,0.867841,0.259398
0.59,0.690184,0.866667,0.266917
0.6,0.684049,0.874439,0.266917
0.61,0.677914,0.873303,0.274436
0.62,0.662577,0.875,0.289474
0.63,0.656442,0.878505,0.293233
0.64,0.653374,0.877934,0.296992
0.65,0.647239,0.886256,0.296992
0.66,0.631902,0.88835,0.31203
0.67,0.625767,0.887255,0.319549
0.68,0.625767,0.887255,0.319549
0.69,0.610429,0.889447,0.334586
0.7,0.59816,0.897436,0.342105
0.71,0.576687,0.893617,0.368421
0.72,0.564417,0.896739,0.379699
0.73,0.542945,0.892655,0.406015
0.74,0.533742,0.896552,0.413534
0.75,0.527607,0.895349,0.421053
0.76,0.521472,0.894118,0.428571
0.77,0.51227,0.898204,0.43609
0.78,0.5,0.90184,0.447368
0.79,0.490798,0.90625,0.454887
0.8,0.466258,0.907895,0.481203
0.81,0.429448,0.914286,0.518797
0.82,0.389571,0.913386,0.56391
0.83,0.319018,0.942308,0.631579
0.84,0.242331,0.936709,0.721805
0.85,0.095092,0.967742,0.887218
0.86,0.0,0.0,1.0
0.87,0.0,0.0,1.0
0.88,0.0,0.0,1.0
0.89,0.0,0.0,1.0
0.9,0.0,0.0,1.0
0.91,0.0,0.0,1.0
0.92,0.0,0.0,1.0
0.93,0.0,0.0,1.0
0.94,0.0,0.0,1.0
0.95,0.0,0.0,1.0
0.96,0.0,0.0,1.0
0.97,0.0,0.0,1.0
0.98,0.0,0.0,1.0
0.99,0.0,0.0,1.0
1.0,0.0,0.0,1.0
