danger_thr,margin,precision_danger,recall_danger,miss_rate_danger,coverage,f1_macro,accuracy
0.3,0.05,0.86,0.808271,0.097744,0.889571,0.452308,0.714724
0.3,0.1,0.861789,0.796992,0.097744,0.877301,0.4561,0.708589
0.3,0.15,0.859504,0.781955,0.097744,0.865031,0.44854,0.696319
0.3,0.2,0.858333,0.774436,0.097744,0.858896,0.444926,0.690184
0.3,0.25,0.859574,0.759398,0.097744,0.843558,0.437628,0.677914
0.3,0.3,0.858369,0.75188,0.097744,0.837423,0.434324,0.671779
0.35,0.05,0.859438,0.804511,0.109023,0.90184,0.46723,0.717791
0.35,0.1,0.861224,0.793233,0.109023,0.889571,0.471044,0.711656
0.35,0.15,0.858921,0.778195,0.109023,0.877301,0.462902,0.699387
0.35,0.2,0.857741,0.770677,0.109023,0.871166,0.459033,0.693252
0.35,0.25,0.858974,0.755639,0.109023,0.855828,0.451183,0.680982
0.35,0.3,0.857759,0.74812,0.109023,0.849693,0.447685,0.674847
0.4,0.05,0.861224,0.793233,0.12406,0.904908,0.479681,0.714724
0.4,0.1,0.863636,0.785714,0.12406,0.895706,0.485089,0.711656
0.4,0.15,0.861345,0.770677,0.12406,0.883436,0.475922,0.699387
0.4,0.2,0.860169,0.763158,0.12406,0.877301,0.47159,0.693252
0.4,0.25,0.861472,0.74812,0.12406,0.861963,0.462718,0.680982
0.4,0.3,0.860262,0.740602,0.12406,0.855828,0.458851,0.674847
0.45,0.05,0.861224,0.793233,0.150376,0.929448,0.491834,0.717791
0.45,0.1,0.863636,0.785714,0.150376,0.920245,0.497376,0.714724
0.45,0.15,0.861345,0.770677,0.150376,0.907975,0.486317,0.702454
0.45,0.2,0.860169,0.763158,0.150376,0.90184,0.481173,0.696319
0.45,0.25,0.861472,0.74812,0.150376,0.886503,0.470575,0.684049
0.45,0.3,0.860262,0.740602,0.150376,0.880368,0.466119,0.677914
0.5,0.05,0.860759,0.766917,0.184211,0.935583,0.480499,0.696319
0.5,0.1,0.860759,0.766917,0.184211,0.935583,0.480499,0.696319
0.5,0.15,0.860759,0.766917,0.184211,0.935583,0.480499,0.696319
0.5,0.2,0.859574,0.759398,0.184211,0.929448,0.474472,0.690184
0.5,0.25,0.86087,0.744361,0.184211,0.91411,0.462109,0.677914
0.5,0.3,0.859649,0.736842,0.184211,0.907975,0.457085,0.671779
0.55,0.05,0.866379,0.755639,0.195489,0.932515,0.493113,0.693252
0.55,0.1,0.866379,0.755639,0.195489,0.932515,0.493113,0.693252
0.55,0.15,0.866379,0.755639,0.195489,0.932515,0.493113,0.693252
0.55,0.2,0.866379,0.755639,0.195489,0.932515,0.493113,0.693252
0.55,0.25,0.864629,0.744361,0.195489,0.923313,0.483639,0.684049
0.55,0.3,0.863436,0.736842,0.195489,0.917178,0.477742,0.677914
0.6,0.05,0.874439,0.733083,0.218045,0.923313,0.515791,0.684049
0.6,0.1,0.874439,0.733083,0.218045,0.923313,0.515791,0.684049
0.6,0.15,0.874439,0.733083,0.218045,0.923313,0.515791,0.684049
0.6,0.2,0.874439,0.733083,0.218045,0.923313,0.515791,0.684049
0.6,0.25,0.874439,0.733083,0.218045,0.923313,0.515791,0.684049
0.6,0.3,0.874439,0.733083,0.218045,0.923313,0.515791,0.684049
