thr,precision_danger,recall_danger,miss_rate_danger,f1_macro,f2_macro,coverage
0.1,0.82243,0.992481,0.0,0.36233,0.361937,0.984663
0.15,0.838188,0.973684,0.018797,0.443147,0.421697,0.97546
0.2,0.839465,0.943609,0.045113,0.454117,0.433702,0.972393
0.25,0.849829,0.93609,0.052632,0.500305,0.476589,0.969325
0.3,0.85,0.894737,0.082707,0.496727,0.482231,0.957055
0.35,0.857143,0.879699,0.097744,0.510306,0.498138,0.953988
0.4,0.855513,0.845865,0.116541,0.498933,0.495018,0.93865
0.45,0.863813,0.834586,0.120301,0.517582,0.519677,0.929448
0.5,0.863281,0.830827,0.120301,0.514233,0.517663,0.92638
0.55,0.863281,0.830827,0.120301,0.514233,0.517663,0.92638
0.6,0.863281,0.830827,0.120301,0.514233,0.517663,0.92638
0.65,0.863281,0.830827,0.120301,0.514233,0.517663,0.92638
0.7,0.863281,0.830827,0.120301,0.514233,0.517663,0.92638
0.75,0.863281,0.830827,0.120301,0.514233,0.517663,0.92638
0.8,0.863281,0.830827,0.120301,0.514233,0.517663,0.92638
0.85,0.863281,0.830827,0.120301,0.514233,0.517663,0.92638
0.9,0.863281,0.830827,0.120301,0.514233,0.517663,0.92638
