threshold,coverage,precision_danger,miss_rate
0.0,1.0,0.815951,0.0
0.01,1.0,0.815951,0.0
0.02,0.996933,0.818462,0.0
0.03,0.996933,0.818462,0.0
0.04,0.996933,0.818462,0.0
0.05,0.996933,0.818462,0.0
0.06,0.996933,0.818462,0.0
0.07,0.993865,0.817901,0.003759
0.08,0.993865,0.817901,0.003759
0.09,0.984663,0.82243,0.007519
0.1,0.984663,0.82243,0.007519
0.11,0.978528,0.827586,0.007519
0.12,0.97546,0.827044,0.011278
0.13,0.960123,0.830671,0.022556
0.14,0.953988,0.836013,0.022556
0.15,0.947853,0.838188,0.026316
0.16,0.941718,0.837134,0.033835
0.17,0.935583,0.836066,0.041353
0.18,0.92638,0.84106,0.045113
0.19,0.917178,0.839465,0.056391
0.2,0.917178,0.839465,0.056391
0.21,0.91411,0.838926,0.06015
0.22,0.904908,0.847458,0.06015
0.23,0.898773,0.849829,0.06391
0.24,0.898773,0.849829,0.06391
0.25,0.898773,0.849829,0.06391
0.26,0.886503,0.851211,0.075188
0.27,0.874233,0.849123,0.090226
0.28,0.871166,0.852113,0.090226
0.29,0.865031,0.851064,0.097744
0.3,0.858896,0.85,0.105263
0.31,0.855828,0.849462,0.109023
0.32,0.849693,0.855596,0.109023
0.33,0.849693,0.855596,0.109023
0.34,0.843558,0.854545,0.116541
0.35,0.837423,0.857143,0.120301
0.36,0.828221,0.855556,0.131579
0.37,0.819018,0.857678,0.139098
0.38,0.812883,0.856604,0.146617
0.39,0.806748,0.855513,0.154135
0.4,0.800613,0.854406,0.161654
0.41,0.788344,0.859922,0.169173
0.42,0.782209,0.862745,0.172932
0.43,0.773006,0.865079,0.180451
0.44,0.769939,0.864542,0.184211
0.45,0.757669,0.870445,0.191729
0.46,0.754601,0.869919,0.195489
0.47,0.754601,0.869919,0.195489
0.48,0.745399,0.872428,0.203008
0.49,0.730061,0.878151,0.214286
0.5,0.717791,0.876068,0.229323
0.51,0.711656,0.875,0.236842
0.52,0.702454,0.877729,0.244361
0.53,0.699387,0.877193,0.24812
0.54,0.696319,0.876652,0.25188
0.55,0.684049,0.874439,0.266917
0.56,0.680982,0.873874,0.270677
0.57,0.677914,0.877828,0.270677
0.58,0.677914,0.877828,0.270677
0.59,0.668712,0.876147,0.281955
0.6,0.665644,0.875576,0.285714
0.61,0.656442,0.878505,0.293233
0.62,0.650307,0.882075,0.296992
0.63,0.641104,0.880383,0.308271
0.64,0.622699,0.8867,0.323308
0.65,0.604294,0.888325,0.342105
0.66,0.595092,0.886598,0.353383
0.67,0.582822,0.894737,0.360902
0.68,0.570552,0.892473,0.37594
0.69,0.542945,0.898305,0.402256
0.7,0.530675,0.901734,0.413534
0.71,0.518405,0.905325,0.424812
0.72,0.503067,0.902439,0.443609
0.73,0.478528,0.897436,0.473684
0.74,0.46319,0.900662,0.488722
0.75,0.447853,0.89726,0.507519
0.76,0.435583,0.908451,0.515038
0.77,0.41411,0.911111,0.537594
0.78,0.389571,0.92126,0.56015
0.79,0.377301,0.926829,0.571429
0.8,0.340491,0.918919,0.616541
0.81,0.288344,0.93617,0.669173
0.82,0.260736,0.929412,0.703008
0.83,0.220859,0.944444,0.744361
0.84,0.184049,0.95,0.785714
0.85,0.159509,0.961538,0.81203
0.86,0.119632,0.948718,0.860902
0.87,0.092025,0.966667,0.890977
0.88,0.070552,0.956522,0.917293
0.89,0.03681,0.916667,0.958647
0.9,0.009202,1.0,0.988722
0.91,0.003067,1.0,0.996241
0.92,0.003067,1.0,0.996241
0.93,0.003067,1.0,0.996241
0.94,0.003067,1.0,0.996241
0.95,0.0,0.0,1.0
0.96,0.0,0.0,1.0
0.97,0.0,0.0,1.0
0.98,0.0,0.0,1.0
0.99,0.0,0.0,1.0
1.0,0.0,0.0,1.0
