danger_thr,margin,precision_danger,recall_danger,miss_rate_danger,coverage,f1_macro,accuracy
0.3,0.05,0.858238,0.842105,0.082707,0.898773,0.475673,0.742331
0.3,0.1,0.859375,0.827068,0.082707,0.883436,0.475842,0.733129
0.3,0.15,0.865079,0.819549,0.082707,0.871166,0.469492,0.726994
0.3,0.2,0.862348,0.800752,0.082707,0.855828,0.459201,0.711656
0.3,0.25,0.866667,0.781955,0.082707,0.834356,0.448657,0.696319
0.3,0.3,0.87013,0.755639,0.082707,0.806748,0.450814,0.680982
0.35,0.05,0.861538,0.842105,0.097744,0.91411,0.486891,0.745399
0.35,0.1,0.862745,0.827068,0.097744,0.898773,0.486518,0.736196
0.35,0.15,0.868526,0.819549,0.097744,0.886503,0.479172,0.730061
0.35,0.2,0.865854,0.800752,0.097744,0.871166,0.467859,0.714724
0.35,0.25,0.870293,0.781955,0.097744,0.849693,0.456203,0.699387
0.35,0.3,0.87013,0.755639,0.097744,0.825153,0.450816,0.680982
0.4,0.05,0.86166,0.819549,0.120301,0.911043,0.485653,0.730061
0.4,0.1,0.864,0.81203,0.120301,0.90184,0.489944,0.726994
0.4,0.15,0.869919,0.804511,0.120301,0.889571,0.481628,0.720859
0.4,0.2,0.86722,0.785714,0.120301,0.874233,0.469242,0.705521
0.4,0.25,0.87234,0.770677,0.120301,0.855828,0.458467,0.693252
0.4,0.3,0.873913,0.755639,0.120301,0.840491,0.458007,0.684049
0.45,0.05,0.870445,0.808271,0.139098,0.923313,0.507224,0.730061
0.45,0.1,0.869388,0.800752,0.139098,0.917178,0.50096,0.723926
0.45,0.15,0.871901,0.793233,0.139098,0.907975,0.493479,0.717791
0.45,0.2,0.869748,0.778195,0.139098,0.895706,0.482716,0.705521
0.45,0.25,0.875,0.763158,0.139098,0.877301,0.470873,0.693252
0.45,0.3,0.872807,0.74812,0.139098,0.865031,0.46207,0.680982
0.5,0.05,0.876068,0.770677,0.157895,0.904908,0.506153,0.708589
0.5,0.1,0.876068,0.770677,0.157895,0.904908,0.506153,0.708589
0.5,0.15,0.876068,0.770677,0.157895,0.904908,0.506153,0.708589
0.5,0.2,0.874459,0.759398,0.157895,0.895706,0.497561,0.699387
0.5,0.25,0.876106,0.744361,0.157895,0.880368,0.485787,0.687117
0.5,0.3,0.874439,0.733083,0.157895,0.871166,0.478512,0.677914
0.55,0.05,0.874439,0.733083,0.18797,0.898773,0.491631,0.680982
0.55,0.1,0.874439,0.733083,0.18797,0.898773,0.491631,0.680982
0.55,0.15,0.874439,0.733083,0.18797,0.898773,0.491631,0.680982
0.55,0.2,0.874439,0.733083,0.18797,0.898773,0.491631,0.680982
0.55,0.25,0.874439,0.733083,0.18797,0.898773,0.491631,0.680982
0.55,0.3,0.873303,0.725564,0.18797,0.892638,0.486042,0.674847
0.6,0.05,0.875576,0.714286,0.203008,0.895706,0.487407,0.668712
0.6,0.1,0.875576,0.714286,0.203008,0.895706,0.487407,0.668712
0.6,0.15,0.875576,0.714286,0.203008,0.895706,0.487407,0.668712
0.6,0.2,0.875576,0.714286,0.203008,0.895706,0.487407,0.668712
0.6,0.25,0.875576,0.714286,0.203008,0.895706,0.487407,0.668712
0.6,0.3,0.875576,0.714286,0.203008,0.895706,0.487407,0.668712
